CNPJ_FUNDO,DIAS_OPERADOS,RETORNO_MEDIO_DIARIO,VOLATILIDADE_RISCO
32.158.430/0001-22,102,0.000154692216,0.01081030999
36.881.596/0001-23,102,0.000336915032,0.000653488332
44.982.118/0001-38,102,0.000180560844,0.003066083332
32.318.799/0001-55,102,-0.000203014254,0.00431365402
33.701.828/0001-26,102,0.000432108094,0.0002759438349
07.470.226/0001-03,102,0.002025809298,0.02077666727
34.579.213/0001-31,102,0.001207796024,0.01358784291
21.596.743/0001-46,102,0.000537071320,0.006986364147
96.498.985/0001-04,102,0.000228962114,0.01200021987
19.719.727/0001-51,102,0.000309847247,0.001491954088
32.319.396/0001-20,102,0.000282351015,0.002329848493
29.733.842/0001-34,102,0.000004636605,0.004093748771
35.610.813/0001-88,102,0.000174572072,0.003112674252
07.861.554/0001-22,102,0.000891914968,0.002691334799
07.098.295/0001-20,102,-0.000052664378,0.01252170112
29.054.793/0001-03,102,0.000101353719,0.01271491966
01.578.474/0001-88,102,0.002297259773,0.01132822987
30.566.221/0001-92,102,0.000250510711,0.002946775526
42.282.065/0001-17,102,-0.000024413010,0.003916364258
39.960.120/0001-76,102,0.000057117967,0.001205611878
05.871.539/0001-30,102,0.000470658400,0.001703927228
40.943.157/0001-75,102,0.000500347106,0.0001215647975
15.486.093/0001-83,102,0.000571454667,0.0004269636987
37.487.547/0001-73,102,0.001056040151,0.01318156178
02.763.747/0001-27,102,0.000714372482,0.01265337651
32.273.554/0001-59,102,-0.000022841414,0.003938791566
04.288.944/0001-67,102,0.000485351981,2.133072901e-05
06.234.238/0001-68,102,0.000746950693,0.01372872175
45.026.487/0001-10,102,0.000597565537,4.123105626e-05
07.645.498/0001-99,102,0.000268501741,0.001401445325
35.610.878/0001-23,102,0.000449460224,0.008374386246
12.154.392/0001-22,102,0.000432270382,0.0002543363914
34.579.122/0001-04,102,-0.000021199915,0.01871886749
27.146.983/0001-25,102,0.000702771526,0.002971849761
26.859.444/0001-70,102,0.000298578057,0.007413187236
